61 190
62 101
62 108
62 108
62 108
62 108
63 112
63 112
63 112
63 112
63 112
64 112
64 120
65 120
65 120
65 120
65 120
65.5  120
66 122
66 122
66 122
66 122
66 122
67 128
67 128
67 128
67 128
67 132
67 132
67 132
67 140
69 140
69 140
69 140
69 142
69 142
69 142
69 142
69.5  142
70 148
70 148
70 148
70 148
70 148
70 148
71 148
71 152
71 152
71 152
71 152
71.5  152
72 152
72 152
72 152
72 160
72 160
72 160
72 160
72 162
73 162
73 168
73 168
73 168
73 172
73.5  172
73.5  180
74 180
74 180
74 182
74 190
75 190
75 190
75 195

